no,merek dagang,tujuan,kategori
216,STARANE 480 EC ,gulma berdaun lebar Cleome rutidosperma ,umum 
217,STARTREK 288 EC ,gulma berdaun lebarAgeratum conyzoides ,umum 
218,VENATOR 550 SC ,"gulma berdaun lebar Ageratum conyzoides, Richardia brasiliensis, Synedrella nodiflora, golongan rumput Eleusine indicata ",umum 
219,VENATOR 550 SC ,"gulma berdaun lebar Ageratum conyzoides, Richardia brasiliensis, Synedrella nodiflora, golongan rumput Eleusine indicata ",umum 
220,REZIM 90 WG ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidosperma, Euphorbia hirta, gulma berdaun sempit Eleusine indica ",umum 
221,FOX 500 EC ,"gulma berdaun lebar Mikania micrantha, Asystasia gangetica, Chromolaena odorata, Boreria alata ",umum 
222,GULMAXONE 276 SL* ,gulma berdaun lebar Ageratum conyzoidesAmaranthus spinosusCleome rutidospermaegolongan rumput Cynodon dactylonDigitaria ciliarisIschaemum timorense  ,umum 
223,DIVATRIN 500 SC ,gulma berdaun lebar Borreria alataCleome asperaIpomoea trilibagolongan rumputDigitaria ciliaris  ,umum 
224,DIVATRIN 80 WP ,gulma berdaun lebar Borreria alataIpomoea trilibagolongan rumputDigitaria ciliaris  ,umum 
225,VULGAR 865 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Cleome rutidosperma, Ipomoea triloba ",umum 
226,SUPRETOX 276 SL* ,"gulma berdaun lebar Alternanthera sessilis, Synedrella nodiflora, gulma berdaun sempit Paspalum conjugatum, teki Cyperus kyllingia ",umum 
227,ASIARON 80 WP ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidospermae, Synedrella nodiflora; golongan rumput Digitaria adscendens, Digitaria ciliaris, Echinochloa colona ",umum 
228,ATRO 30 EC ,ulat grayak Spodoptera litura ,umum 
229,CALIWA ULTRA 60/9 WP ,penyakit antraknosa Colletotrichum capsici ,umum 
230,ANZUJIN 70 WP ,penyakit antraknosa Colletrotichum capsici ,umum 
231,CAPITAL 200/300 SC ,penyakit bercak daun Cercospora capsici ,umum 
232,EMBARGO 40 SP ,penggerek buah Helicoverpa armigera ,umum 
233,"DOMORE 30/250 EC, PROTECT 40/35 WP, PROZINON 600 EC, SAMBAS 700 EC, VALETUDO 600 SC ",kutu daun Myzus persicae ,umum 
234,DIABLO 36 EC ,hama trips Thrips sp. ,umum 
235,CYPERBAN 590 EC ,hama trips Thrips tabaci kutu daun Myzus persicae ,umum 
236,"ASPIRE 18 EC, BALTIK 536 EC, BESTFAT 75 SP, LARISMA 200 EC, OLIGO 36 EC ",hama trips Thrips parvispinus ,umum 
237,HYPOLAX 400 SL ,"ulat grayak Spodotera litura, kutu daun Myzus persicae ",umum 
238,CYPERMAX 100 EC ,ulatgrayak Spodoptera litura ,umum 
239,"BM FOSBAN 200 EC, CHEPATE 75 SP, CYCAT 50 EC, ENDURE 120 SC, FENTICIDE 200 EC , FORZA 50 SC, INTERPRID 25 WP, JOKER 75 SP, JOKI 400 SL, KENFAS 100 EC, KENSELEC 500 EC, MEGADIS 25 EC, MEGAFOS 200 EC, MILAMEX 40 SP, PRATHEN 75 SP, PRIMA-FAST 50 EC, RAJATRIN 250 EC, TAEKWANDO 25 EC, VOLCANO 200 EC, WILBO 200 EC ",ulat grayak Spodotera litura ,umum 
240,FENVAL 200 EC ,"ulat grayak Spodoptera litura, hama trips Thrips parvispinus ",umum 
241,"AMCOTHENE 75 SP, CYRUX 50 EC, JAGABAYA 200 EC, LIEBAS 50 EC, TUMAGON 100 EC ",ulat grayak Spodoptera sp. ,umum 
242,POLYCOM 70 WG ,"penyakit bercak daun Cercospora capsici, penyakit antraknosa pada buah Colletotrichum spp. ",umum 
243,GROWNIL 75 WP ,"penyakit bercak daun Cercospora capsici, penyakit busuk buah Colletotrichum capsici ",umum 
244,GITA 80 WP ,"penyakit bercak daun Cercospora capsici, penyakit busuk daun Phytophthora infestans ",umum 
245,CUPRARIKH 50 WP ,penyakit bercak daun Cercospora sp. ,umum 
246,CUSTODIA 320 SC ,penyakit busuk buah Colletotrichum gloeosporioides ,umum 
247,PROCURE 20 WP ,penyakit busuk buah Phytophthora capsici ,umum 
248,PREVICUR-N 722 SL ,penyakit busuk daun dan busuk buah Phytophthora spp. ,umum 
249,BENLOX 50 WP ,penyakit layu fusarium Fusarium oxysporum ,umum 
250,BENLOX 50 WP ,penyakit rebah semai Pythium spp. ,umum 
251,PREVICUR-N 722 SL ,penyakit rebah/mati bibit Pythium sp. ,umum 
252,MITIGATE 18 EC ,tungau kuning Hemitarsonemus latus ,umum 
253,DETONATOR 20 WP ,tungau kuning Polyphagotarsonemus latus ,umum 
254,METINDO 25 WP ,ulat buahHelicoverpa armigera ,umum 
255,TOTAL MAX 200 EC ,ulat buah Agrotis ipsilon ,umum 
256,"ARJUNA 200 EC, CHIX 25 EC ",ulat grayakSpodoptera litura ,umum 
257,ZETVAL 200 EC ,ulat grayak Spodooptera litura ,umum 
258,"AGGRESSIVE 25 EC, AKOCYTHRIN 50 EC, AKRON 500 EC, ALFAMEX 18 EC, ALTAC 15 EC, AMETHYST 40 EC, AMONITE 25 EC, ASTER 50 EC, BARRIER 5 GR, BENTO 50 EC, BIOCRON 500 EC, BM CYCHLOPHOS 500/50 EC, BM DELTA 28 EC, BM LAMDA 50 EC, BM PROMAX 75 SP, BM THIOMET 200 SL, BOMBER 20 EC, BRAVO 50 EC, CENTATIN 200 EC, CROWEN 113 EC, DAITONA 400 EC, DANATAN 400 SL, DARIO 25 EC, DARMACIS 50 EC, DHARMABAS 500 EC, DHARMAFUR 3 GR, DHARMASAN 600 EC, DHARMASIP 50 EC, DIMILIN 25 WP, DIOMEC 18 EC, EXTRATIN 200 EC, FARINTOP 50 EC, FEN-GOLD 200 EC, FENTOP 30 EC, FINSOL 500 EC, GOBANG 110 EC, GRANGE 25 EC, ICHIBAN 250 EC, IMIDASTAR 200 SL, INTERCIDE 25 WP, KALIANDRA 482 EC, KLENSECT 200 EC, LIBERO 200 EC, MANUVER 400 SL, MATADOR 25 EC, METAL 30 EC, METEOR 25 EC, MIO 200 EC, MIPCINDO 50 WP, MUSUHAMA 500 EC, NEOTRIN 50 EC, OPERA 100 EC, OSCAR 25 EC, PASTO 15 EC, PENTACRON 500 EC, PREDICT 50 EC, PREGO 20 EC, PREVATHON 50 SC, PROTHOL 10 EC, RAYDOCK 28 EC, REVITHRIN 25 EC, ROLICRON 500 EC, ROLIDOR 25 EC, ROTEEN 75 SP, RUDAL 25 EC, RUDOR 5 WP, SALVADOR 25 EC, SANCORD 50 EC, SANFIDOR 200 SL, SUMIALPHA 25 EC, SUMO 50 EC, TAMABAS 500 EC, THOMPAS 25 EC, TIKAM 50 EC, TOTAL 10/40 EC, TUGARD 160/10 EC, VIRTAKO 300 SC, ZYCHATE 200 SL, ZYCHATE 25 WP ",ulat grayak Spodoptera litura ,umum 
259,YASITHRIN 30 EC ,lalat buah Bactrocera ferrugineus ,umum 
260,ALORID 30 EC ,lalat buah Bactrocera ferrungineus ,umum 
261,RAYDOCK 28 EC ,lalat buah Bactrocera sp. ,umum 
262,"STOPHAMA 300 EC, VOLIAM TARGO 63 SC ",penggerek buah Helicoverpa armigera ,umum 
263,LUDO 310 EC ,"penggerek buah Helicoverpa armigera, kutu daun Myzus persicae, hama trips Thrips parvispinus ",umum 
264,PROMECTIN 60 EC ,"penggorok daun Liriomyza sp., hama trips Thrips parvispinus ",umum 
265,PROMECTIN 18 EC ,"pengorok daun Liriomyza sp., hama trips Thrips sp. ",umum 
266,MAGENTA 50 WP ,penyakit antraknosaColletotrichum capsici ,umum 
267,"AGROKOL 70 WP, AMOTAN 250 SC, ARSENAL 75 WP, BENDAS 50 WP, BESCONIL 80 WP, CORONA 325 SC, DORUM 350 SC, ELARIO 50 WP, FLASHER 250 SC, MOLTOVIN 345/35 SC, RAKSA MAX 80 WP, REGIO 250 SC, TOSCANA 250 SC, ZENITH 75 WP, ZOLE 250 EC ",penyakit antraknosa Colletotrichum capsici ,umum 
268,VICTORY 80 WP ,"penyakit antraknosa Colletotrichum capsici, Colletotricum gloeosporiodes ",umum 
269,"ANTILA 80  WP, SIDAZEB 80 WP ","penyakit antraknosa Colletotrichum capsici, Gloeosporium gloeosporioides ",umum 
270,KANMULUS 80 WG ,"penyakit antraknosa Colletotrichum capsici, penyakit bercak daun Cercospora capsici ",umum 
271,TRIVIA 73 WP ,"penyakit antraknosa Colletotrichum capsici, penyakit busuk buah Phytohthora capsici ",umum 
272,"PROMANEB 80 WP, RECOR PLUS 300 EC ",penyakit antraknosa Colletotrichum gloeosporioides ,umum 
273,METAZEB 80 WP ,"penyakit antraknosa Colletotrichum gloeosporioides, Colletotrichum capsici ",umum 
274,MERPAN 80 WG ,"penyakit antraknosa Colletotrichum gloeosporioides, penyakit bercak daun Cercospora capsici ",umum 
275,"AMISTAR 250 SC, BELLKUTE 40 WP ",penyakit antraknosa Colletotrichum sp. ,umum 
276,COZEB 80 WP ,"penyakit antraknosa Colletotrichum sp., penyakit busuk buah Phytophthora sp. ",umum 
277,APIKOL 70 WP ,penyakit antraknosa Colletotrichum spp. ,umum 
278,"APIKOL 70 WP, TOYUNG 50 WP ",penyakit barcak daun Cercospora capsici ,umum 
279,CABRIOTOP 60 WG ,penyakit bercak daunCercospora capsici ,umum 
280,"BENLOX 50 WP, CADILAC 80 WP, CARINO 250 EC, EXPLORE 250 EC, KONTAF PLUS 250 SC, PUANMUR 50 SP, RAKSA MAX 80 WP, SCHNELL 50 WP, ZOLE 250 EC ",penyakit bercak daun Cercospora capsici ,umum 
281,THIOCEL 500 SC ,"penyakit bercak daun Cercospora capsici, penyakit antraknosa Colletotrichum capsici ",umum 
282,"CONFIDOR 200 SL, RESPECT 200 EC ","kutu daun Myzus persicae, hama trips Thrips sp. ",umum 
283,DELTA 25 EC ,"kutu daun Myzus persicae, hama trips Thrips sp., lalat buah Bactrocera ferrungineus ",umum 
284,EVISET 50 SP ,"kutu daun Myzus persicae, kutu putih Bemisia tabaci ",umum 
285,BRASSO 250 EC ,"kutu daun Myzus persicae, lalat buah dacus sp. ",umum 
286,"BESTRIN FORTE PLUS 100 EC, SINOBAN 400 EC ","kutu daun Myzus Persicae, penggerek buah Helicoverpa armigera ",umum 
287,"PREZA 100 OD, TOTAL MAX 200 EC ",kutu kebul Bemisia tabaci ,umum 
288,MOSPILAN 30 EC ,lalat buahBactrocera sp.kutu daunMyzus persicae ,umum 
289,"ALIKA 247 ZC, BASCOM 500 EC, BIOCHLORMETHYL PLUS 500 EC, CEVIDA 25/50 WP, CHLORMITE 400 EC, FASTAC 15 EC, IMIDATOP 350 SL, INSETTO 200 SL, JAGABAYA 200 EC, KEPRETIN 100 EC, MATAPEL 25 EC, METHA 400 EC, PROMECTIN 60 EC, PROTEK 300/50 EC, RAMPAGE 100 EC, RAYDOCK 28 EC, REBEL 500/50 EC ",kutu daun Myzus persicae ,umum 
290,KANON 400 EC ,"kutu daun Myzus persicae, hama Thrips sp. ",umum 
291,TETRIN 36 EC ,"kutu daun Myzus persicae, hama trips Thrips parvisinus ",umum 
292,"CONFIDOR 5 WP, FASTRIN 100 EC, NAVIGATOR 200 SL, RADIANT 200 EC ","kutu daun Myzus persicae, hama trips Thrips parvispinus ",umum 
293,ARJUNA 200 EC ,kutu daun Myzus persicae ,umum 
294,BRASSO 250 EC ,kutu daun Aphids sp. ,umum 
295,DESTAR 50 SC ,kutu daunMyzus persicae  ,umum 
296,WINDER 25 WP ,kutu daun Myzus persicaehama trips Thrips sp. ,umum 
297,"SUPRAMET 570 EC, YOSAN 575 EC ",hama tungau Polyphagotarsonemus latus ,umum 
298,BRASSO 250 EC ,hama trips Thrips sp. ,umum 
299,GALIL 300 SC ,"hama trips Thrips parvispinus, penggerek buah Helicoverpa armigera ",umum 
300,PREZA 100 OD ,"hama trips Thrips parvispinus, kutu daun Myzus persicae, perusak daun Helicoverpa armigera ",umum 
301,PROMEFON 250 EC ,antraknosa Colletotrichum sp. ,umum 
302,ALTERNA 90 WP ,busuk daun Phytophthora sp. ,umum 
303,DETAFOS 200 EC ,hama kutu daunMyzus persicae ,umum 
304,BESTFAST 250 EC ,hama kutu daun Myzus persicae ,umum 
305,BADIK 18 EC ,"hama kutu daun Myzus persicae, hama trips Thrips sp. ",umum 
306,"SIKLON 5,7 WG ","hama kutu daun Myzus persicae, penggerek buah Helicoverpa amigera ",umum 
307,ARJUNA 200 EC ,hama tripsThrips parvispinus ,umum 
308,BESTOX 50 EC ,hama trips Thrips parvispinuslalat buah Bactrocera sp. ,umum 
309,FIPROS 55 SC ,hama trips Thrips parvispinus kutu daun Myzus persicae  ,umum 
310,FURY 50 EC ,hama trips Thrips sp. ,umum 
311,"ABINSEC 18 EC, PUNTO 200 SL ","hama trips Thrips palmi, kutu daun Myzus persicae ",umum 
312,"BASCOM 500 EC, BIOCHLORMETHYL PLUS 500 EC, DIMACIDE 400 EC, FARIN 200 EC, IMIDATOP 350 SL, INSETTO 200 SL, JAGABAYA 200 EC, KEPRETIN 100 EC, KILIRI 20 EC, SAGRI-ZIN 50 WP, TOXAFINE 400 EC ",hama trips Thrips parvispinus ,umum 
313,ENDURE 120 SC ,"hama trips Thrips parvispinus, hama Helicoverpa armigera ",umum 
314,"ALENA 200 SL, ATTIC 18 EC, COVER 400 EC, DUIT 18 EC, FIDARID 200 SL, GREENAMEC 36 EC, INOVATE 100 EC, LARBAN 500/50 EC, LIMEC 36 EC, MARBOFID 2 WP, METHACIDE 25 WP, NESTOR 25 EC, STARMEK 18 EC, UNICYTHRIN 50 EC, YUDA 50 EC ","hama trips Thrips parvispinus, kutu daun Myzus persicae ",umum 
315,TIFLO 80 WP ,penyakit antraknosa Colletotrichum capsisi ,umum 
316,"BAZOKA 80 WP, DOLLAR 80 WP ",penyakit bercak daun Cercospora capsici ,umum 
317,"BM PRONEB 70 WP, DANVIL 50 SC, NATIVO 75 WG ","penyakit bercak daun Cercospora capsici, penyakit antraknosa Colletotrichum capsici ",umum 
318,"APPLAUD 100 EC, APPLAUD 440 SC ",tungau kuning Polyphagotarsonemus latus ,umum 
319,APPLAUD 10 WP ,tungau teh kuning Polyphagotarsonemus latus ,umum 
320,MARSHAL 200 EC ,tungau Tetranychus sp. ,umum 
321,PADAN 50 SP ,ulat grayak Spodoptera litura ,umum 
322,CLOSER 50 WG ,kutu daun Myzus Persicae ,umum 
323,MARSHAL 200 EC ,"kutu daun Myzus persicae, hama thrips tabaci ",umum 
324,"DEKAMON 22,43 L ",Meningkatkan jumlah dan bobot buah ,umum 
325,NAZOLE 50 SC ,penyakit antraknosa Colletotrichum capsici ,umum 
326,MASALGIN 50 WP ,"penyakit antraknosa buah Colletotrichum capsici, penyakit bercak daun Ceroospora capsici ",umum 
327,"BAZOKA 80 WP, TIFLO 80 WG ",penyakit antraknosa Colletotrichum capsici ,umum 
328,PADAN 50 SP ,"hama trips Thrips parvispinus, kutu daun Myzus persicae ",umum 
329,SANCIS 25 EC ,kutu daun Myzus persicae ,umum 
330,SANCIS 25 EC ,hama trips Thrips parvispinus ,umum 
331,INTERPRID 200 SL ,hama trips Thrips parvispinus ,umum 
332,THIONIC 76 WG ,"antraknosa Colletotrichum capsici, penyakit bercak daun Cercospora capsici ",umum 
333,CRONUS 18 EC ,"hama thrips Thrips parvispinus, hama kutu daun Myzus persicae ",umum 
334,JUDO 70 WP ,Bercak daun Cercospora capsiciAntraknosaColletotrichum capsici ,umum 
335,CHAMPION 77 WP ,penyakit antraknosa Colletotrichum capsici ,umum 
336,ARES 100 SL ,"kutu daun Myzus Persicae, hama trips Thrips parvispinus ",umum 
337,"ACTARA 25 WG, NISSOZIN 20 SP ",kutu kebulBemisia tabaci ,umum 
338,CLOSER 50 WG ,kutu kebul Bemisia tabaci ,umum 
339,"ARMCIDE 50 WG, DKBINOVA 100 SC, PAMERIN 200 EC ",penggerek buahHelicoverpa armigera ,umum 
340,STARTHENE 75 WG ,penggerek buahHeliothis armigera ,umum 
341,NAUTILE 68/5 WG ,penyakit antraknosaColletotrichum capsisi ,umum 
342,MAGENTA 50 WP ,penyakit antraknosaColletotrichum gloeosporioides ,umum 
343,STARPLUS 70 WP ,penyakit antraknosaColletotrichum sp. ,umum 
344,CABRIOTOP 60 WG ,Penyakit antraknosa Colletotrichum capsici ,umum 
345,DECIS 25 EC ,hama trips Thrips sp. ,umum 
346,"BULFIDOR 300 SC, CENTATIN 200 EC ",hama trips Thrips parvispinus ,umum 
347,SAMITE 135 EC ,hama tungau Hemitarsonemus latus ,umum 
348,CLEANNER 30 EC ,hama ulat buahHelicoverpa armigera ,umum 
349,SIDAJOS 430 EC ,kutu daunMyzus persicaehama tripsThrips parvispinus ,umum 
350,DECIS 25 EC ,kutu daunMyzus persicaelalat buahBactrocera sp. ,umum 
351,"BULLDOZER 550/100 EC, CRUZZ 800 EC, ELECTRON 50/550 EC, NAVOX 60 EC, PRIMA-PRO 55 SC, SIDAPYR 325 EC, SYMPHONY 100 EC, TURBO 500 SC ",kutu daunMyzus persicae ,umum 
352,"KILIRI 20 EC, VERPECTION 400 EC ",kutu daun Myzus persicae ,umum 
353,DELTAMEX 40 EC ,hama tripsThripssp. ,umum 
354,RUDOR 200 SL ,hama trips Thrips parvispinuskutu daun  Myzus persicaeulat grayak Spodoptera litura ,umum 
355,ELECTRIC 500 EC ,hama trips Thrips parvispinus  ,umum 
356,"RONNO 100 EC, SAGRI-M9 20/100 EC ",hama tripsThrips sp. ,umum 
357,RUTIN 18 EC ,hama thripsThrips parvispinus ,umum 
358,AGRIMEC 18 EC ,hama thrips Thrips parvispinus ,umum 
359,"ABACROSS 50 EC, ABATEN 18 EC, AGRIMECTIN 300 EC, AGRINEEM 0,03 EC, ALASKA 18 EC, ALIBABA 18 EC, ARIZONA 55 EC, BESTIN 18 EC, BETAMIX 470 EC, BRUNO 70 EC, CEBA 125 EC, DAMEX 18 EC, DAMEX 30 EC, DOBELMECTIN 36 EC, EVISET 50 SP, FAMFREE 100 EC, FARMECTIN 36 EC, FIRMENTO 550/60 EC, FLOXS 36 EC, GMAX 18 EC, LANIDOR PLUS 50 WP, LAVITRIN 350 EC, LIMBAD 50 EC, QUICKMITE 50 WG, REGGE 50 SC, REJOSO 400 SC, RUSH OUT 450 SL, SANGKURDI 50 EC, SANTA 350 EC, SHELTER 100 EC, SOPETON 108 EC, TRONTON 50 EC ",hama tripsThrips parvispinus ,umum 
360,ACCURA 520 SC ,antraknosa Colletotrichum capsici ,umum 
361,STAMULUS 80 WP ,embun tepungOidiospora sp. ,umum 
362,TOMBAK 189 EC ,hamaMyzus persicae ,umum 
363,WELCHEM 500 SL ,hama kutu daunMyzus persicae ,umum 
364,"BESVIDAN PLUS 550/60 EC, ENREKA 100 EC, PRADO 25 EC, PROSID 25 WP, PUSAKA 660 EC, RUTIN 18 EC, SUPERCIDE 50 EC ",hama kutu daunMyzus persicae ,umum 
365,WELCHEM 500 SL ,hama kutu daunThrips parvispinus ,umum 
366,KONTAF 50 SC ,antaknosaColletrotrichum capsici ,umum 
367,"BM ZEBCO 80 WP, MEGANIL 82,5 WP ",penyakit bercak daun Cercospora capsici ,umum 
368,REVUS 250 EC ,penyakit busuk buahPhytophthora infestans ,umum 
369,FOLIO GOLD 440 SC ,penyakit busuk buah Phytophthora infestans  ,umum 
370,MANTEB 80 WP ,penyakit busuk daun Cercospora capsici ,umum 
371,RIDOMIL GOLD 350 ES ,penyakit rebah kecambah Pythium sp. ,umum 
372,BM PROPERTHRIN 440 EC ,"thrips Thrips parvispinus, kutu daun Myzus persicae ",umum 
373,"CURACRON 500 EC, ORTHENE 75 SP ",ulat grayakSpodoptera litura ,umum 
374,DECIS 25 EC ,ulat grayak Spodotera litura ,umum 
375,STARTHENE 75 WG ,ulat grayak Spodoptera litura ,umum 
376,ABUKI 50 SL ,thrips Thrips parvispinus ,umum 
377,ADOPT 250 SL ,penyakit bercak cercosporaCercospora capsici ,umum 
378,"ACCURA 70 WP, MAGUS 325 SC, RAINCOZEB 80 WP ",penyakit bercak daunCercospora capsici ,umum 
379,"MEGANIL 82,5 WP ",penyakit antraknosa Colletotrichum capsici ,umum 
380,BETTUP 200 EC ,"penyakit antranoksa Colletetrichum capsici, penyakit bercak daun Cercospora capsici ",umum 
381,ROUNDUP POWERMAX 660 SL ,gulma berdaun lebar Ageratum conyzoidesBorreria alataMikania micranthagolongan rumputOttochloa nodosa ,umum 
382,FOLIRFOS 400 SL ,penyakit hawar daunPhytophthora sp ,umum 
383,SIDAFUR 3 GR ,penggerek batang Nothopeus hemipterus ,umum 
384,SERUNI 100 EC ,nyamuk vektor DBD Aedes aegypti ,umum 
385,"CONDITE 57 EC, KENANGA 25 EC (R) ",nyamuk Culex quinquefasciatus ,umum 
386,LADEN 500 EC ,"nyamuk Aedes aegypti, Culex quinquefasciqtus ",umum 
387,"ACTELLIC 500 EC, AUTAN 14,05 AE, CYNOFF 50 EC, CYNOFF 50 EC, KENANGA 25 EC (R), SERUNI 100 EC, SMASH 100 EC, SMASH 100 EC ","nyamuk Aedes aegypti, Culex quinquefasciatus ",umum 
388,"ALTRINE 30 EC, ALTRINE 30 EC, CONDITE 57 EC, DHARMACLEN 25 EC, KENANGA 25 EC (R) ",nyamuk Aedes aegypti ,umum 
389,MYTHIC 240 SC ,"nyamuk Aedes aegyoti, Culex quinquefasciatus, lalat Musca domestica, kecoa Blatella germanica, Periplaneta americana ",umum 
390,TENOPA 60 SC ,nyamuk Aedes aegyptiCulex quinquefasciatus ,umum 
391,VEKTAR 100 EC ,nyamukAedes aegypti ,umum 
392,TENOPA 60 SC ,kecoa Blatella germanica ,umum 
393,TENOPA 60 SC ,kecoa Periplaneta americana ,umum 
394,"KENANGA 25 EC (R), TENOPA 60 SC ",lalat Musca domestica ,umum 
395,CIDES 50 EC ,kecoa Periplaneta americana lalat Musca domesticanyamuk Aedes aegyptiCulex quinquefasciatus ,umum 
396,CIDES 50 EC ,nyamuk vektor demam berdarah dengue  Aedes aegypti ,umum 
397,ICON 25 EC ,NyamukAnopheles sp. ,umum 
398,HARUMY 200 EC ,nyamukCulex quinquefasciatusAedes aegypti ,umum 
399,HAIL283KK 50 EC ,nyamuk Aedes aegypti Culex quinquifasciatus ,umum 
400,HAIL283KK 50 EC ,nyamuk Aedes aegypti Culex quinquifasciatus ,umum 
401,ACTELLIC 500 EC ,nyamukCulex quinquefasciatus ,umum 
402,ICON 25 EC ,NyamukAedes sp.Culex quinquefasciatus. ,umum 
403,AMARILIS 25 EC ,nyamukAedes aegyptiCulex qunquefasciatus ,umum 
404,ACTELLIC 500 EC ,nyamukAedes aegypti ,umum 
405,"DHARMACLEN 25 EC, HARUMY 200 EC, MORTEIN 1 FU, OLYSET NET 2 LN, VEKTAR 100 EC ",nyamukAedes aegyptiCulex quinquefasciatus ,umum 
406,DHARMACLEN 25 EC ,lalat Musca domestica kecoa Blatella germanicaPeriplaneta americana ,umum 
407,ICON 25 EC ,lalat Musca domestica ,umum 
408,HARUMY 200 EC ,lalat Musca domestica  ,umum 
409,ACTELLIC 500 EC ,kecoa Blatella germanica ,umum 
410,ACTELLIC 500 EC ,lalatMusca domestica ,umum 
411,ICON 25 EC ,Kecoa Periplaneta americana ,umum 
412,GUDPRUF 210 EC ,nyamukAedes aegyptiCulex quinquefasciatus ,umum 
413,GUDPRUF 210 EC ,nyamukAedes aegypti ,umum 
414,GUDPRUF 210 EC ,nyamukCulex quinquefasciatus ,umum 
415,"KEMUT 0,03 GR ",lipas Blatella germanicaPeriplanetta americana  ,umum 
416,"BAYGON 8,5 AE, HIT 13 GL, HIT 15 GL, HIT 436.7 OL ",nyamuk Aedes aegypti Culex quinquefasciatus ,umum 
417,HIT 0.25 AE ,- lalat Musca domestica - lipas Blatella germanica Periplanetta americana- nyamuk Aedes aegypti Culex quinquefasciatus ,umum 
418,JOLT 25 EC ,"Kecoa Periplanetta americana, Blatella germanica, Semut Anoploplepis gracilipes ",umum 
419,JOLT 25 EC ,"Nyamuk Aedes aegypti, Culex quinquefasciatus ",umum 
420,HIT 0.43 AE ,- lalat   Musca domestica - lipas   Blatella germanica  Periplanetta americana- nyamuk  Aedes aegypti  Culex quinquefasciatus ,umum 
421,"MORTEIN 0,2 AE ","nyamuk Aedes aegypti, Culex quinquefasciatus, lalat Musca domestica, semut Anoplolepis gracilipes, kecoa Blatella germanica, Periplaneta americana ",umum 
422,SMASH 100 EC ,semut Anoplolepis gracilipes ,umum 
423,"OPTIGARD ANT 0,01 RB ","semut Anoplolepis gracilipes, semut argentina Iridomyrmex humilis, semut pharaoh Manomorium pharaonis, semut tapinoma Tapinoma melanocephalum ",umum 
424,BISTAR 10 WP ,nyamuk Anopheles aconitus ,umum 
425,"VAPE 0,05 AL ",semutAnoplolepis gracilipes ,umum 
426,CONDITE 57 EC ,NyamukAedes aegypti ,umum 
427,SERUNI 100 EC ,Untuk mengendalikan nyamuk Culex quinquefasciatus ,umum 
428,CONDITE 57 EC ,NyamukCulex quinquefasciatus ,umum 
429,"HIT 22,34 LV, HIU 0,3 MC, KENANGA 25 EC (R), MANGUNI 0,00625 MC, NOMOS 0,025 MC, ONE PUSH VAPE 61,74 AL, TIGARODA 0,25 MC, VAPE 0,026 MC, VAPE 0,03 MC, VAPE 0,031 MC, VAPE 0,04 MC, VAPE 0,05 MC, VAPE 0,4 MC, VAPE 0,5 MC, VAPE 0,6 MC, VAPE 4,1 MV, VAPE 40 ST, VAPE 6,1 MV ","nyamuk Aedes aegypti, Culex quinquefasciatus ",umum 
430,"MORTEIN 0,16 AE ","nyamuk Aedes aegypti, Culex quinquefasciatus, lalat Musca domestica ",umum 
431,"HIT 0,338 AE, HIT 0,405 AE ","nyamuk Aedes aegypti, Culex quinquefasciatus, kecoa Blatella germanica, Periplaneta americana, lalat Musca domestica ",umum 
432,"BAYGON 2,0 AL ","nyamuk Aedes aegypti, Culex quinquefasciatus, semut Anoplolepis gracilipes, kecoa Blatella germanica, Periplaneta americana, lalat Musca domestica ",umum 
433,"RAID 0,12 AE ","nyamuk Aedes aegypti, Culex quinquefasciatus, kecoa Blatella germanica, Perilpaneta americana, lalat Musca domestica ",umum 
434,BISTAR 10 WP ,kecoa Blatella germanica ,umum 
435,"HIT FOGG 9,344 AL ","lalat Musca domestica, kecoa Periplanetta americana, Blatella germanica ",umum 
436,"NOMOS 0,015 MC ",nyamukAedes aegyptiCulex quinguefasciatus ,umum 
437,"NOMOS 0,555 AE ","nyamuk Aedes aegypti, Culex quinquefasciatus, kecoa Blatella germanica, Periplaneta americana, lalat Musca domestica, semut Anoplolepis gracilipes ",umum 
438,SMASH 100 EC ,lalat  Musca domestica ,umum 
439,BISTAR 10 WP ,lalat Musca domestica ,umum 
