no,nama media,jenis media,penanggung jawab,pemimpin redaksi,badan hukum,provinsi,alamat,email
122,Radar Riau,Cetak,David Leo Lase,David Leo Lase,Radar Riau,Riau,"Jl. Arifin Ahmad, No. 148, Kel. Sidomulyo Timur, Kec. Marpoyan Damai, Kota Pekanbaru-Riau",radarriauredaksional@gmail.com
123,podiumnews.com,Siber,Edy Asri,Edy Asri,Media Podium Utama,Bali,"Jalan Bhineka Nusa Kauh V, Dalung Permai Blok P No 58, Kuta Utara, Kabupaten Badung, Provinsi Bali",redaksipodium@gmail.com
124,suryapagi.com,Siber,M. Iqbal Saputra,Badar Subur,Media Surya Pagi,Banten,"Jalan Bonjol No. 37 Rt. 03/ Rw. 07, Pondok Karya, Pondok Aren, Tangerang Selatan 15425",redsuryapagi@gmail.com
125,Palopo Pos,Cetak,Husain Rasyid,Husain Rasyid,Palopo Press Intermedia,Sulawesi Selatan,Jl. Andi Djemma No. 94 Kota Palopo,palopopos@yahoo.co.id
126,Wartabromo.com,Siber,Mochammad Asad,Mochammad Asad,Warmo Media Waskito,Jawa Timur,"Jl. Panglima Sudirman Kav 115 No. 17, Kelurahan/ Kecamatan Purworejo ",wartabromo@gmail.com
127,Pusaranupdate.com,Siber,SY. Sopian Efendi,SY. Sopian Efendi,Media Pusaran Mandiri,Bengkulu,Jl. Semangka 4 RT.12 RW.04 Kel.Panorama Kec.Singgaran Pati Kota Bengkulu ,pusaranupdate@gmail.com
128,kaltimtoday.co,Siber,Maturidi,Maturidi,Media mandiri perkasa,Kalimantan Timur,"Jalan dayak batu blok AA/11, kelurahan sempaja selatan, kecamatan samarinda utara, samarinda, kalimantan timur",kaltimtoday99@gmail.com
129,Swakarya.com,Siber,Bardian,Bardian,Pinhastika Tunas Wartadunia,Kepulauan Bangka Belitung,"Jl Ra Kartini no 1A, Kel Batin Tikal, Kec Tamansari, Kota Pangkalpinang",muhammadtahir2610@gmail.com
130,Sumbar Post,Cetak,Almadi,Almadi, Media Sumbar Post,Sumatera Barat,Jalan Lansano No 1 Lolong Belanti Padang,redaksi_xpos@yahoo.co.id
131,nawacita.co,Siber,Riko Abdiono,Riko Abdiono,Nawacita Media Communication,Jawa Timur,JL.MARGOREJO 24-26 D SURABAYA,nawacitamedia@gmail.com
132,Media Aceh,Cetak,Teuku Maimun Umar,Teuku Maimun Umar,Atjeh Media Group,Aceh,"Jalan Cendrawasih Nomor 2B Gampong Keuramat, Kuta Alam, Banda Aceh",muktar_pang@yahoo.com
133,Harian Mistar,Cetak,Rika Suartiningsih,Rika Suartiningsih,Bintang Berita Abadi,Sumatera Utara,"Jalan H.Adam Malik Kelurahan Timbang Galung Kecamatan Siantar Barat, Kota Pematang Siantar, Sumatera Utara",harianmistar@yahoo.com
134,Seputar Aceh,Cetak,Bahrul Walidin,Bahrul Walidin,Pat Aceh Sarana Informasi,Aceh,"Jln. T, Iskandar Lr. Gajah, Nomor. 13, Gampong Doy, Kecamatan Ulee Kareng, Kota Banda Aceh",seputaraceh1@gmail.com
135,Independennews.com,Siber,Gusmanedy Sibagariang,Gusmanedy Sibagariang,Sinar Sembilan Bintang,Kepulauan Riau,"Kompleks Ruko Rabayu Blok E No. 2 Tembesi, Sagulung, Kota Batam, Kepulauan Riau, Indonesia.",gusman_s@yahoo.com
136,Rakyatpos,Cetak,Agus hendrayadi,Agus hendrayadi,Rakyatpos,Kepulauan Bangka Belitung,Jl. Sudirman No. 14 Lembawai Kec. Gabek Kota Pangkalpinang,rakyatpos@gmail.com
137,infokepri.com,Siber,Ismanto Panjaitan,Ismanto Panjaitan,Ayu Novlin Bersaudara,Kepulauan Riau,"Perumahan Parisa Indah Blok A 3 Nomor 20 A Kelurahan Sei Langkai, Kecamatan Sagulung, Batam, Kepri",infokepri2019@gmail.com
138,teritorial24.com,Siber,Hartono Tugiman,Hartono Tugiman,Teritorial Dua Empat Nusantara,Sumatera Utara,"DESA PEMATANG SETRAK, KEC. TELUK MENGKUDU, KAB. SERDANG BEDAGAI, PROV. SUMUT",teritorialduaempat.nusantara@gmail.com
139,Habadaily.com,Cetak,Ariadi B Jangka,Ariadi B Jangka,Haba Inter Media,Aceh,"Jl. T. Panglima Nyak Makam, Lhambuk, Ulee Kareng - Banda Aceh, Aceh 23127",habadaily@gmail.com
140,Kepripos.id,Siber,Abdilah,Abdilah,Jaya Kepri Pos,Kepulauan Riau,"Jl. Sihotang, Ranai, Kabupaten Natuna",kepriposredaksi@gmail.com
141,Efarina Televisi,Televisi,Daniel Pekuwali,Daniel Pekuwali,Efarina Televisi,Sumatera Utara,Jl. Parahot No. 26 Kelurahan Nagori Pamatang Simalungun Kecamatan Siantar Kabupaten Simalungun 21151,redaksiefarinatv@gmail.com
142,beritanusa.com,Siber,Yanto,Yanto,Monitor Multi Media,Sumatera Utara,Jalan Umar Baki LK VII Kelurahan Sukaramai ,beritanusa2020@gmail.com
143,eksisnews.com,Siber,Amir Syarifuddin,Amir Syarifuddin,Putra Media Eksis,Sumatera Utara,Jl. Tuba II No. 63 C Kel. Tegal Sari Mandala III Kec. Medan Denai,dataeksis@gmail.com
144,suaraborneo.com,Siber,Khairiadi Asa,Khairiadi Asa,Suara Borneo Jaya,Kalimantan Selatan,Jl Trans Kalimantan Komplek Grand Purnama 2 Blok F Purnama 21 No.153,suaraborneo009@gmail.com
145,satujuang.com,Siber,Wibowo Susilo,Wibowo Susilo,Satujuang Jaya Abadi,Bengkulu,Jl DP Negara 3 No.31 Rt.46 Rw.05 Kelurahan Pagar Dewa Kecamatan Selebar,admsatujuang@gmail.com
146,kepripedia.com,Siber,Yoan Sutrisna Nugraha,Yoan Sutrisna Nugraha,Kepri Digital Media,Kepulauan Riau,"Ruko Costarica Niaga Blok B2 No 6, Jl Costarica Residance, Belian, Batam Kota",redaksi@kepripedia.com
147,kaltimkece.id,Siber,Felanans Gevrido Yosef Mustari,Felanans Gevrido Yosef Mustari,Kaltim keren cerdas,Kalimantan Timur,Jalan wahid hasyim 2 no. 16,kaltimkece@gmail.com
148,liputankini.com,Siber,Gusnaldi Saman,Gusnaldi Saman,Rakyatterkini Media Perdana,Sumatera Barat,"Komplek Palm Raya, Blok C/1, Kampung Lalang, RT.003-RW.006, Kelurahan Pasar Ambacang,  Padang, Sumatera Barat",kiniliputan@gmail.com
149,Jejak News,Cetak,Ismail Novendra,Ismail Novendra,Jejak Media Group,Sumatera Barat,"Jln. Bengkuang No.16, Kel. Ujung Gurun, Kec. Padang Barat",jejakmediagroup@gmail.com
150,pakuanraya.com,Siber,David Rizar Nugroho,David Rizar Nugroho,Pakar Inti Corpora,Jawa Barat,"Jl,Raya Pajajaran Ruko Warung Jambu No.1 B RT 001 RW.006 Kel .Bantarjati, Kec. Bogor Utara  ",harianpakaronlne@gmail.com
151,seblang.com,Siber,Kundari Pri Susanti,Kundari Pri Susanti,Seblang Multi Media,Jawa Timur,"Jalan Wijaya Kusuma No.47 Kelurahan Boyolangu, Kecamatan Giri, Kabupaten Banyuwangi",redaksi.seblangdotcom@gmail.com
152,tangselpos.id,Siber,Ari Supriadi,Ari Supriadi,Tangsel Media Utama,Banten,Griya Pena Ruko Golden Road Blok C32/12,tangselpos.id@gmail.com
153,tribunpontianak.co.id,Siber,Yoso Muliawan,Yoso Muliawan,Kapuas Media Grafika,Kalimantan Barat,"Jl. Sungai Raya Dalam No. 24A, Desa Sungai Raya, Kec. Sungai Raya",redaksi.tribunpontianak@gmail.com
154,acehvideo.tv,Siber,Dasrpiani,Dasrpiani,Aceh Video Multimedia,Aceh,"Jalan Ratu Syafiatuddin, Komplek Sri Ratu Syafiatuddin, No. 43D, Peunayong Kuta Alam, Banda Aceh",videoaceh@gmail.com
155,mistar.id,Siber,Rika Suartiningsih,Rika Suartiningsih,Bintang Berita Abadi,Sumatera Utara,"Jalan H. Adam Malik No.87F Kelurahan Timbang Galung ,Kecamatan Siantar Barat, Kota Pematang Siantar, Prov Sumatera Utara",koranmistar@gmail.com
156,cnnindonesia.com,Siber,Desi Anwar,Titin Rosmasari,Trans News Corpora,DKI Jakarta,"Gedung Transmedia, Jl. Kapten P. Tendean Kav. 12-14A, Jakarta Selatan, 12790, Indonesia",subscription@cnnindonesia.com
157,balitopnews.com,Siber,Dewa Ayu Dewi,Dewa Ayu Dewi,Bali Top Media Jaya,Bali,"Banjar Bongan Gede, Desa Bongan, Kecamatan Tabanan",balitopnews9@gmail.com
158,upeks.co.id,Siber,Syamsuddin Yoko,Syamsuddin Yoko,Portal Upeks Indonesia,Sulawesi Selatan,Fajar Graha Pena Makassar Lt.III Jl. Urip Sumohardjo No.20 Telp. (0411) 457457 Fax. (0411) 456626 Makassar Email Redaksi: upeks.satu@gmail.com Email Iklan: upeks.satu@gmail.com,upeks.satu@gmail.com
159,Bukamatanews.id,Siber,Dewi Yuliani,Dewi Yuliani,Mata Asia Intermedia,Sulawesi Selatan,Jl. Perintis Kemerdekaan VII No.3,redaksi@bukamatanews.id
160,metro7.co.id,Siber,Sabirin HA Syukran Nafis,Sabirin HA Syukran Nafis,Surya Alam Sakti Mandiri,Kalimantan Selatan,Jl. Simpang Tiga Tangki Hijau RT. 06 No. 21 Kelurahan Belimbing Raya Kecamatan Murung Pudak ,redaksi@metro7.co.id
161,sulutreview.com,Siber,Hilda Margaretha,Hilda Margaretha,Media Citra Anugrah,Sulawesi Utara,"Jalan Piere Tendean, Marina Plaza Lantai II Blok B",sulutreview@gmail.com
162,Mediakaltim.com,Siber,Agus Susanto,Agus Susanto,Media Kaltim Promosindo,Kalimantan Timur,Jalan Gunung Kawi Nomor 3 BSD  Kelurahan Gunung Elai Kecamatan Bontang Utara Kota Bontang,redaksi@mediakaltim.com
163,suarajatimpost.com,Siber,Prayudi Bahagia Rahmad Widi,Prayudi Bahagia Rahmad Widi,Suara Media Jatim,Jawa Timur,"Jl. Terusan Tegalgondo, Pendem, Junrejo, Kota Batu",redaksi@suarajatimpost.com
164,republiknews.co.id,Siber,Dahlan Abubakar,Dahlan Abubakar,Sinar Panorama Mandiri,Sulawesi Selatan,"Jl. Adiaksa IV No. 8-9, Kelurahan Pandang, Kecamatan Panakkukang, Kota Makassar",sadambuton89@gmail.com
165,prosesnews.id,Siber,Hasanuddin Djadin,Hasanuddin Djadin,Proses Digital Media,Gorontalo,"Jln. Palma, Kel. Libu’o, Kec. Dungingi, Kota Gorontalo, Provinsi Gorontalo",prosesnews@gmail.com
166,Pakuan Raya (PAKAR),Cetak,David Rizar Nugroho,David Rizar Nugroho,Pakar Inti Corpora,Jawa Barat,"Jl. Raya Pajajaran No. 1 B, Bogor 16153",harianpakuanraya@yahoo.com
167,sulselsatu.com,Siber,Yulhaidir Ibrahim H ,Yulhaidir Ibrahim H ,Latama Media Satu,Sulawesi Selatan,"Jl.AP. Pettarani,Kompleks Ramayana Pettarani Ruko Diamond Lt.2 Dan Lt.3 Blok.D No.16 Makassar",sulselsatu1@gmail.com
168,analisaaceh.com,Siber,Misdarul Ihsan,Misdarul Ihsan,Analisa Trend Media,Aceh,"Meunasah Manyang, Krueng Barona Jaya, Kabupaten Aceh Besar, Aceh",redaksi@analisaaceh.com
169,BaritaItah.co.id,Siber,Eko Widodo,Eko Widodo,Kekea Barita Itah,Kalimantan Tengah,Jl.Christopel Mihing No.37,kekea.baritaitah@gmail.com
170,satukanal.com,Siber,Danu Sukendro,Danu Sukendro,Satukanal Media Dwipa,Jawa Timur,"Jl. cengkeh no.1, tulusrejo, kec. lowokwaru, kota malang, jawa timur 65141",satukanalcom@gmail.com
171,jalurinfo.com,Siber,Muhammad Idris Hamid,Muhammad Idris Hamid,Jalur Info Nusantara,Sulawesi Selatan,"Gedung Graha Pena Mini Ruko Kav. 9-10 , Jl Urip Sumohardjo No 20 Makassar",jinfo@jalurinfo.com
172,Prospek,Cetak,Marliyana,Marliyana,Banua Karya Mandiri,Kalimantan Selatan,"Jalan Pramuka/Jalan Melati Indah VII RT 10No 47, Kelurahan Sungai Lulut, Kecamatan Banjarmasin Timur,",zakirprospek@gmail.com
173,Pagaralam Pos ,Cetak,Diansyah Putra,Diansyah Putra,Citra Lahat Media,Sumatera Selatan,"JL. MAYJEN S.PARMAN NO.34 RT 15 RW 05, KOTA PAGARALAM",pagaralampos@yahoo.com
174,Kalselpos.com,Siber,Syamsul Arifin Lingga ,Syamsul Arifin Lingga,Sinar Insan Media ,Kalimantan Selatan,Jl Sultan Adam RT 14 RW 002 RUKO NOMOR 5 SUNGAI MIAI BANJARMASIN UTARA,kalselposcom@gmail.com
175,seru.co.id,Siber,Achmad Ali Abdul Majid,Achmad Ali Abdul Majid,Aguna Don Amertha,Jawa Timur,Jl. MT. Haryono 1A Blok B-6 Lantai 2 Komplek Ruko Istana Dinoyo,redaksi.seru@gmail.com
176,Radar Makassar,Cetak,M. Alfiansyah Zugito,M. Alfiansyah Zugito,Radar Makassar Intermedia,Sulawesi Selatan,Jl. Batua Raya No. 184,Redaksi.radarmakassar@gmail.com
177,mediasinergi.co,Siber,Ismail Asnawi,Ismail Asnawi,Media Sinergi Cyber,Sulawesi Selatan,Jl Sawerigading Hunian HS Sawerigading Blok B No. 8 Sengkang Kabupaten Wajo Sulawesi selatan,mediasinergicyber@gmail.com
178,Bitnews.id,Siber,M. Surtan,M. Surtan,Digital Media Informatif,Jambi,"Jalan AR Saleh RT 37 Kelurahan Paal Merah, Kecamatan Paal Merah",redaksibitnewsid@gmail.com
179,Media Sinergi,Cetak,Abdul Manaf Rachman,Abdul Manaf Rachman,Media Sinergi,Sulawesi Selatan,Jl Sawerigading Hunian HS Sawerigading Blok B No. 8 Sengkang Kabupaten Wajo Sulawesi selatan,mediasinergi@gmail.com
180,bacapesan.com,Siber,Akbar,Akbar,Mahamu Utama Intermedia,Sulawesi Selatan,"Jalan Sultan Alauddin, Kompleks Ruko Permatasari, No 25, Makassar",bacapesandotcom@gmail.com
181,Koranbanjar.net,Siber,Sandy Firly,Sandy Firly,Media Banjar Grup,Kalimantan Selatan,"Jalan Guntung Manggis No. 106 RT. 13/ RW. 02 Kelurahan Guntung Manggis, Kecamatan Landasan Ulin, Kota Banjarbaru, Provinsi Kalimantan Selatan",koranbanjar2@gmail.com
182,Berita Radar,Cetak,Pudiyaka,Pudiyaka,Fiskia Media Karya,Sumatera Selatan,"Jalan Rawasari , Purnama RT. 48 NO. 75 Bukit Sangkal Palembang",fiskiaradar@yahoo.com
183,Kaltengterkini.co.id,Siber,Heryanto Prabowo,Heryanto Prabowo,Huma Media Perkasa,Kalimantan Tengah,Jl.  Pangeran Samudera no.  39,Kaltengterkini5@gmail.com
184,tegas.co,Siber,Agus Sana'a,Agus Sana'a,Tegasco Media Internet,Sulawesi Tenggara,"Jalan Patimura lorong Rapiah 1, kelurahan Puuwatu, Kecamatan Puuwatu",tegascotegasco@gmail.com / adit1973mas.ud@gmail.com
185,kalimantanlive.com,Siber,Umi Sriwahyuni,Umi Sriwahyuni,Kalimantan Media Bestari,Kalimantan Selatan,"Jalan Sintuk II No 163 RT 13 RW 02, Kompleks Banjar Indah Permai, Kelurahan Pemurus Dalam,  Kecamatan Banjarmasin Selatan, Banjarmasin, Kalimantan Selatan (702480}",redaksi.kalimantanlive@gmail.com
186,Lintassumbar.co.id,Siber,Idham Fadhli,Idham Fadhli,Lintas Sumbar Media,Sumatera Barat,"Jln. Kayu Belanti, Desa Koto Marapak, Kecamatan Pariaman Timur",lintassumbar82@gmail.com
187,Prokalteng.co,Siber,Indar,Indar,Kalteng Cakrawala Media,Kalimantan Tengah,"Jalan pramuka. kelurahan: menteng, kecamatan: jekan raya, kota palangka raya, provinsi kalimantan tengah. kode pos: 74874.",REDAKSIKAPOSONLINE@GMAIL.COM
188,sorottuntas.com,Siber,Hendro Riswono,Hendro Riswono,Batam Kepri Mandiri,Kepulauan Riau,"omplek Pertokoan Greenland Blok L No. 12A Lt.3, Kel. Teluk Tering, Kec. Batam Kota, Batam Centre","redaksisorottuntas01@gmail.com, linciadnn90@gmail.com"
189,masakini.co,Siber,Maimun Saleh,Maimun Saleh,Gelora Masa Kini,Aceh,"Jl. Iskandar Muda, No. 6, Desa Lambung, Kec. Meuraxa, Kota Banda Aceh",red.masakini@gmail.com
190,Borneotrend.com,Siber,Khairiadi Asa,Khairiadi Asa,Borneo trend media,Kalimantan Selatan,JL Belitung Darat GG Samadi Ilham RT 17 RW 02 NO 48,borneotrendofficial@gmail.com
191,komunikasulut.com,Siber,Wenseslaus Leriando Kambey,Wenseslaus Leriando Kambey,Komunika Sulut Media,Sulawesi Utara,"Lingkungan 1, Kelurahan Teling Atas, Kecamatan Wanea.",komunikasulutmedia@gmail.com
192,jejakrekam.com,Siber,Didi Gunawan Sanusi,Didi Gunawan Sanusi,Jejak Rekam Bhanuwa,Kalimantan Selatan,"Jalan Bengkirai No 117 RT 13 RW 02, Kompleks Banjar Indah Permai, Kelurahan Pemurus Dalam, Kecamatan Banjarmasin Selatan",rekamjejak07@gmail.com
193,acehportal.com,Siber,Fauzi Yuda Fahruddin,Fauzi Yuda Fahruddin,Aceh Portal Multimedia,Aceh,"Alamat Redaksi | Alamat: Jl. Tandi, Ateuk Munjeng, Kec. Baiturrahman, Kota Banda Aceh–Indonesia",redaksiacehportal@gmail.com
194,Riliskalimantan.com,Siber,Sandy Firly,Sandy Firly,Rilis kalimantan media,Kalimantan Selatan,"Komplek Andai Jaya Persada Block C NO 50, Kelurahan Sungai Andai, Kecamatan Banjarmasin Utara",rilis.kalimantan@gmail.com
195,Lentera Today,Cetak,Arifin Boedi Haryono,Arifin Boedi Haryono,Media Hebat Inspirasi Indonesia,Jawa Timur,Jl Rungkut asri utara VI no 26 Surabaya,mediahebatindonesia@gmail.com
196,Lenteratoday.com,Siber,Arifin Boedi Haryono,Arifin Boedi Haryono,Media Hebat Inspirasi Indonesia,Jawa Timur,Jl Rungkut asri utara VI no 26 Surabaya,lenteratoday@gmail.com
197,kanalkalimantan.com,Siber,Agus Suprapto,Agus Suprapto,Citra Kalimantan Media,Kalimantan Selatan,Panglima Batur Jl. Pinus II RT. 001 RW. 001 Kelurahan Mentaos Banjarbaru Utara Kota Banjarbaru 70714 Provinsi Kalimantan Selatan,desykanalkalimantan@gmail.com
198,Media Pos Aceh,Cetak,Asnawi Kumar,Asnawi Kumar,Media Pos Aceh,Aceh,"Jl. Tgk Adee Utama No. 11, Desa Doy, Kecamatan Ulee Kareng",redaksi.mediaposaceh@gmail.com
199,benuanta.co.id,Siber,Sultan,Sultan,Zarah Benuanta Utama,Kalimantan Utara,"Kantor Benuanta, Lantai 2, Jalan Gajah Mada, RT 31, Nomor 30D2, Kelurahan Karang Anyar Pantai, Kecamatan Tarakan Barat, Kota Tarakan, Provinsi Kalimantan Utara",benuantaonline@gmail.com
200,theacehpost.com,Siber,M. Nasir Nurdin,M. Nasir Nurdin,Media Aceh Post,Aceh,"Jalan Teuku Chik Ditiro, Lorong Gelatik, No. 02A,Desa Ateuk Pahlawan, Kecamatan Baiturrahman",redaksi.tap@gmail.com
201,grapena.com,Siber,Milhan Rusli,Milhan Rusli,Graha Pena Mandira,Kalimantan Selatan,"Jalan Padat Karya, Komplek Perdana Mandiri, Blok G, Jalur 5, RT. 20, No. 76, Kelurahan Sungai Andai",redaksigrapena@gmail.com
202,fajarharapan.id,Siber,Andri Besman,Andri Besman,Fajar Sumbar Mandiri,Sumatera Barat,"Griya Elok Blok C / 15, Kelurahan Batuang Taba Nan XX, Kecamatan Lubuk Begalung",fajarharapan1972@gmail.com
203,teras7.com,Siber,Didin Ariyadi,Didin Ariyadi,Teras Tujuh Indonesia,Kalimantan Selatan,"Jalan Karang Anyar 3, No A22, Kelurahan Loktabat Utara, Kecamatan Banjarbaru Utara, Kota Banjarbaru, Kalimantan Selatan",teras7news@gmail.com
204,suarasulut.com,Siber,Heru Fachrozi,Fuad Puspita Kadir,Faradila Natasya Utama,Sulawesi Utara,Kelurahan Paniki Satu Perum Kilu Permai Blok A Nomor 675 Lingkungan III Kecamatan Mapanget,harisandi2020@gmail.com
205,SultengTerkini.ID,Siber,Agus Panca Saputra,Agus Panca Saputra,Media Sulawesi Terkini,Sulawesi Tengah,Jl. RE. Martadinata No. 03 Kelurahan Tondo,sultengterkini.com@gmail.com
206,media.alkhairaat.id,Siber,Khaeruddin saleh,Khaeruddin saleh,Media alkhairaat online,Sulawesi Tengah,"Jalan SIS Aljufri No 44, Lantai III Gedung PB Alkhairaat, Palu Barat",alkhairaatmedia.2020@gmail.com
207,wartakotalive.com,Siber,Yupratomo Dwi P,Domuara Ambarita,Metrogema Media Nusantara,DKI Jakarta,Kompas Gramedia. Gedung Tribun Redaksi. Jalan Palmerah Selatan No 14 Jakarta 10270,redaksi.warkotlive@gmail.com
208,Tabloid Narasi,Cetak,Elfis,Elfis,Media Lintas Negeri,Riau,Jalan Ronggowarsito no 67,hataminews@gmail.com
209,Beritarafflesia.com,Siber,Yasrizal,Yasrizal,Bintang Nusantara Group,Bengkulu,Jalan Merapi Ujung Nomor 06 RT. 08 RW. 03 Panorama Kecamatan Singaran Pati Kota Bengkulu.,112233dika@gmail.com
210,Tribun Pontianak,Cetak,,,,Kalimantan Barat,"Jl. Sungai Raya Dalam No.24 A, Pontianak 78391",tribunpontianak@yahoo.com
211,AJNN.net,Siber,Fauji Yudha,Muhammad Nazar Ahadi,Aceh Jurnal Nasional,Aceh,"Jln. T Hasan Dek, Lorong D, Gampong Beurawe, Kecamatan Kuta Alam, Banda Aceh, 23124",ajnn.net@gmail.com
212,Riau Pos,Cetak,,,,Riau,"Gedung Riau Pos Jl. Subrantas (Jl. Raya Pekan Baru Bangkinang) Km 10,5",redaksi@riaupost.com
213,sulutnews.com,Siber,Merson Simbolon,Merson Simbolon,PT.SULUT CYBER MEDIA,Sulawesi Utara,Jl.Camar IV No.92,redaksi@sulutnews.com
214,Global News,Cetak,Erfandi Putra,Erfandi Putra, Global Media Prima,Jawa Timur,Jl. Cipta Menanggal VI / 7 Surabaya,gnewsredaksi@gmail.com
215,JatimTimes.com,Siber,Heryanto,Heryanto,Jatim Times Network,Jawa Timur,Jl. Raya Tlogomas Square Kav. 14 Malang,redaksijatimtimes@gmail.com
216,Bali Post,Cetak,I Wayan Dira Arsana,I Wayan Dira Arsana,Percetakan dan Penerbitan Bali Post,Bali,Jalan Kepundung No. 67 A ,redaksibalipost@yahoo.com
217,Pedoman.Media,Siber,Zakarias Aris. B,Zakarias Aris. B,Media Rakyat Publik,Sulawesi Selatan,"Jl. A.P. Pettarani, Ruko New Zamrud Blok E/18, Rappocini, Makassar-Sulawesi Selatan",redaksi.pedomanmedia@gmail.com
218,pijarnews.com,Siber,Dian Muhtadiah Hamna,Dian Muhtadiah Hamna,Pijar Media Global,Sulawesi Selatan,"Jl. Andi Sololipu, No 19, Kel. Ujung Sabbang, Kec. Ujung, Kota Parepare. Sulawesi Selatan",redaksi@pijarnews.com
219,Mitanews.co.id,Siber,Zulfikar Tanjung,Zulfikar Tanjung,Mimbar Informasi Kita News,Sumatera Utara,"Jln. Ki Hajar Dewantara, Kelurahan Pasar Sibuhuan, Kecamatan Barumun, Kabupaten Padang Lawas, Provinsi Sumatera Utara",mitanews21@gmail.com
220,surabaya.tribunnews.com,Siber,Tri Mulyono,Tri Mulyono,Antar Surya Media,Jawa Timur,Jl Rungkut Industri III No 68 & 70 Surabaya 60293,hariansuryaonline@gmail.com
221,Nomorsatukaltim.com,Siber,Devi Alamsjah,Devi Alamsyah	,Kalimantan Media Nusantara,Kalimantan Timur,"Kompleks Mapple Blok A 6 Borneo Paradiso, Balikpapan Selatan",diskaltim@gmail.com
222,bidiksumsel.com,Siber,Darwin Sarkowi,Darwin Sarkowi,Media Pena Nusantara,Sumatera Selatan,"Jl. Mayjen Yusuf Singedekane (Nilakandi, Lr. Semendo No.1, Karya Jaya, Kec. Kertapati, Kota Palembang, Sumatera Selatan 30259",bidiksumsel@gmail.com
223,okemedan.com,Siber,Anang Anas Azhar,Anang Anas Azhar,Nanta Qelana Media,Sumatera Utara,jln Saudara No. 61A Medan,akbaraldikautsar1@gmail.com
224,peristiwanusantara.com,Siber,Ismanto Panjaitan,Ismanto Panjaitan,Peristiwa Nusantara Sejahtera,Kepulauan Riau,"Perumahan Buana Point Blok A Nomor 5 Kel Sungai Langkai,  Kec Sagulung- Batam  ",peristiwanusantara2020@yahoo.com
225,Parepos.co.id,Siber,Ade Cahyadi,Ade Cahyadi, Ajatappareng Mega Media,Sulawesi Selatan,JL.Bau Massepe Nomor 2 Kel.Cappa Galung kec.Bacukiki Barat,onlineparepos721@gmail.com
226,tugujatim.id,Siber,Nurcholis MA B,Nurcholis MA Basyari,Tugu Sejahtera Nusantara ,Jawa Timur,"Jalan Dirgantara A1-12 B, Lesanpuro, Kedungkandang, Kota Malang.",redaksitugujatim@gmail.com
227,tugumalang.id,Siber,Nurcholis MA B,Nurcholis MA B,Tugu Media Komunikasindo,Jawa Timur,"Jl Dirgantara A1/12B, Lesanpuro, Kec. Kedungkandang, Kota Malang, Jawa Timur",redaksitugumalang@gmail.com
228,Harian Banyuasin,Cetak,Dian Fauzen,Dian Fauzen,Wahana Semesta CItra Banyuasin,Sumatera Selatan,"Jl. Palembang-Jambi Komp. Ruko PTC NO. 15-16 Kayuara Kuning, Banyuasin III",harianbanyuasin2020@gmail.com
229,Kalteng Pos,Cetak,Vinsensius Goda. L,Vinsensius Goda. L,Kalteng Pos Press,Kalimantan Tengah,"Jalan Tjilik Riwut Km. 2,5",kaltengpos@gmail.com
230,wartakepri.co.id,Siber,Dedy Suwadha,Novianto,Warta Kepri Media,Kepulauan Riau," Perum Cendana Blok F12 No.1 RT 02 RW 036, Kecamatan Batam Kota, Kota Batam, Provinsi Kepri.     Redaksi dan Usaha : Komplek Ruko Mall Botania II Blok B22 No.6, Kecamatan Batam Kota, Kota Batam, Provinsi Kepri.  Tlp (0778) – . HP: 0852644-00989 Email: wartakeprionline@gmail.com",wartakeprionline@gmail.com
231,infobanknews.com,Siber,Eko B. Supriyanto,Eko B. Supriyanto,Infobank Digital Inisiatif Asia,DKI Jakarta,Jalan Sultan Iskandar Muda No.123 Kebayoran Lama Utara ,idia@infobank.co.id
232,Palembang.tribunnews.com,Siber,L. WENY R,L. WENY R,TRIBUN BERITA ONLINE,Sumatera Selatan,Jl. Alamsyah Ratu Prawira Negara No.120 RT.052 RW.016 Ilir Barat I Palembang,jili87nangin@gmail.com
233,Portalmakassar.com,Siber,Iga Kumarimurti Diwia,Iga Kumarimurti Diwia,Portal Makassar Media,Sulawesi Selatan,Minasa Sari Raya Blok 13 No.5 ,beritaportalmakassar@gmail.com
234,Harian Timor Express,Cetak,Kristo Embu,Kristo Embu,Timor Ekspress Intermedia,Nusa Tenggara Timur,"Jalan Piet A Tallo, Oesapa Selatan, Kelapa Lima, Liliba, Kec. Oebobo, Kota Kupang, Nusa Tenggara Timur",timeks_jpnn@yahoo.co.id
235,Pos Kupang,Cetak,Hilarius F Jahang,Hasim Ashari,Timor Media Grafika,Nusa Tenggara Timur,Jln. R.W Monginsidi II,kupang.poskupang@gmail.com
236,Solopos FM,Radio,Suwarmin ,Suwarmin,Radio Solo Audio Utama,Jawa Tengah,Jl Adisucipto No 190 Solo,redaksi@soloposfm.com
237,Solopos.com,Siber,Rini Yustiningsih,Rini Yustiningsih,Aksara Solopos,Jawa Tengah,Jalan Adisucipto no 190 Surakarta,digital@solopos.com
238,koranperbatasan.com,Siber,Amran,Amran,Tuah Tinta Jaya Abadi,Kepulauan Riau,"Jl. Hangtuah, RT 003 RW 004 Kelurahan Ranai Kota Kecamatan Bunguran Timur",koran.perbatasan@gmail.com
